First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Justin,Abdelkader,DET,DET,,LW,71,23,21,15,44,3,154,47,36,0,0,0,153,28,,14,5,2010
Will,Acton,EDM,EDM,,C/RW,3,0,0,0,0,-2,2,0,1,0,0,0,3,3,,0,0,16
Luke,Adam,CBJ,CBJ,,C,3,0,0,0,0,0,0,0,1,0,0,0,2,0,,0,0,4
Craig,Adams,PIT,PIT,,RW,70,1,6,3,7,-1,51,13,12,0,1,1,183,29,,0,1,741
Andrew,Agozzino,COL,COL,,LW,1,0,1,0,1,1,1,1,0,0,0,0,1,0,,0,0,29
Jason,Akeson,PHI,PHI,,RW,13,0,0,0,0,-1,9,5,6,0,0,0,11,4,,0,0,48
Bryan,Allen,MTL,"ANA, MTL",6,D,11,0,2,1,2,-2,6,9,15,0,0,0,20,15,,0,0,132
Conor,Allen,NYR,NYR,,D,4,0,0,0,0,-1,2,0,2,0,0,0,6,0,,0,0,16
Mark,Alt,PHI,PHI,,D,1,0,0,0,0,-1,0,3,3,0,0,0,1,0,,0,0,2
Karl,Alzner,WSH,WSH,,D,82,5,16,6,21,14,72,36,62,0,0,0,120,165,0,0,0,1239
Josh,Anderson,CBJ,CBJ,,RW,6,0,1,0,1,-1,10,3,6,0,0,0,24,2,,0,0,97
Joakim,Andersson,DET,DET,,C,68,3,5,5,8,-4,74,14,15,0,0,0,27,24,,0,1,470
Andy,Andreoff,LAK,LAK,,LW/C,18,2,1,0,3,1,14,10,4,0,0,0,33,0,,0,1,189
Sven,Andrighetto,MTL,MTL,,RW,12,2,1,1,3,0,12,1,8,0,0,0,5,4,,0,0,117
Mike,Angelidis,TBL,TBL,,LW,3,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,0,10
Artem,Anisimov,CBJ,CBJ,,C,52,7,20,15,27,-6,88,48,39,0,3,3,33,26,0,4,2,1109
Mark,Arcobello,ARI,"EDM, NSH, PIT, ARI",36,C/RW,77,17,14,7,31,-10,129,57,57,0,1,1,111,27,0,4,2,1409
Joel,Armia,BUF,BUF,,RW,1,0,0,0,0,0,0,0,0,0,0,0,4,0,,0,0,8
Viktor,Arvidsson,NSH,NSH,,LW,6,0,0,0,0,0,9,5,4,0,0,0,3,5,,0,0,34
Carter,Ashton,TOR,TOR,,RW,7,0,0,0,0,-3,4,1,2,0,0,0,6,3,,0,0,26
Cam,Atkinson,CBJ,CBJ,,RW,78,22,18,9,40,-2,212,63,62,1,0,1,55,39,2,10,7,1872
Keith,Aulie,EDM,EDM,,D,31,0,1,0,1,-3,25,15,19,0,0,0,59,37,0,0,0,267
David,Backes,STL,STL,,C/RW,80,26,32,18,58,7,183,77,45,0,0,0,227,87,,16,3,2664
Mikael,Backlund,CGY,CGY,,C,52,10,17,8,27,4,103,41,48,2,0,2,41,32,,1,2,1117
Nicklas,Backstrom,WSH,WSH,,C,82,18,60,31,78,5,153,78,52,0,0,0,91,52,3,33,3,2932
Sven,Baertschi,VAN,"CGY, VAN",15,LW,18,2,4,4,6,-3,15,4,5,0,0,0,8,7,,0,0,210
Casey,Bailey,TOR,TOR,,C,6,1,0,0,1,1,9,1,1,0,0,0,3,4,,0,0,57
Josh,Bailey,NYI,NYI,,LW/C,70,15,26,14,41,3,140,46,75,0,0,0,66,36,1,4,1,1569
Keith,Ballard,MIN,MIN,,D,14,0,1,0,1,-3,5,2,3,0,0,0,15,20,,0,0,105
Mark,Barberio,TBL,TBL,,D,52,1,6,2,7,-4,53,25,42,0,0,0,35,46,,0,0,443
Aleksander,Barkov,FLA,FLA,,C,71,16,20,9,36,-4,123,36,40,0,0,0,35,35,1,7,3,1416
Tyson,Barrie,COL,COL,,D,80,12,41,18,53,5,139,63,110,0,0,0,80,90,0,16,0,2103
Matt,Bartkowski,BOS,BOS,,D,47,0,4,4,4,-6,67,43,33,0,0,0,88,24,,0,0,458
Victor,Bartley,NSH,NSH,,D,37,0,10,7,10,1,28,17,20,0,0,0,77,53,,0,0,566
Kyle,Baun,CHI,CHI,,RW,3,0,0,0,0,-1,4,4,0,0,0,0,12,0,,0,0,32
Jay,Beagle,WSH,WSH,,RW/C,62,10,10,7,20,6,84,23,19,0,1,1,73,33,0,0,2,940
Francois,Beauchemin,ANA,ANA,,D,64,11,12,4,23,17,110,45,58,0,1,1,105,107,,3,1,1289
Nathan,Beaulieu,MTL,MTL,,D,64,1,8,4,9,6,62,36,49,0,0,0,50,69,,2,0,607
Taylor,Beck,NSH,NSH,,LW,62,8,8,7,16,-4,78,34,31,0,0,0,61,23,,2,3,804
Matt,Beleskey,ANA,ANA,,LW,65,22,10,5,32,13,145,85,83,0,0,0,159,25,,4,8,1658
Pierre-Edouard,Bellemare,PHI,PHI,,LW,81,6,6,4,12,-3,113,46,45,0,0,0,121,61,,0,1,910
Brett,Bellemore,CAR,CAR,,D,49,2,8,5,10,1,26,22,14,0,0,0,148,54,,0,1,726
Jamie,Benn,DAL,DAL,,LW,82,35,52,32,87,1,253,103,110,2,3,5,120,50,1,23,6,3471
Jordie,Benn,DAL,DAL,,D,73,2,14,7,16,-5,70,52,63,0,0,0,92,121,0,2,0,986
Beau,Bennett,PIT,PIT,,RW,49,4,8,6,12,-1,81,29,35,0,0,0,68,13,0,0,1,644
Sam,Bennett,CGY,CGY,,C,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,,0,0,27
Andre,Benoit,BUF,BUF,,D,59,1,8,3,9,-19,45,24,37,1,0,1,38,98,,1,0,617
Sean,Bergenheim,MIN,"FLA, MIN",39,LW,56,9,10,6,19,-2,108,49,30,0,0,0,73,13,1,2,2,923
Patrice,Bergeron,BOS,BOS,,C,81,23,32,22,55,2,234,90,104,1,1,2,57,60,3,14,4,2337
Patrik,Berglund,STL,STL,,C,77,12,15,8,27,-2,145,50,39,0,0,0,93,26,,1,0,1213
Steve,Bernier,NJD,NJD,,RW,67,16,16,10,32,2,107,25,28,0,0,0,123,47,,8,2,1474
Stu,Bickel,MIN,MIN,,D,9,0,1,1,1,1,3,1,1,0,0,0,10,9,,0,0,69
Bryan,Bickell,CHI,CHI,,LW,80,14,14,6,28,5,113,35,47,0,0,0,205,13,0,3,3,1452
Alex,Biega,VAN,VAN,,D,7,1,0,0,1,-2,7,7,5,0,0,0,34,8,,0,1,143
Danny,Biega,CAR,CAR,,D,10,0,2,0,2,-5,7,7,11,0,0,0,27,7,,0,0,132
Kevin,Bieksa,VAN,VAN,,D,60,4,10,4,14,0,99,40,67,0,1,1,109,93,,1,1,1002
Anthony,Bitetto,NSH,NSH,,D,7,0,0,0,0,-1,2,2,3,0,0,0,9,3,,0,0,28
Nick,Bjugstad,FLA,FLA,,C,72,24,19,8,43,-7,207,64,54,0,0,0,148,29,4,12,3,2023
Jesse,Blacker,ANA,ANA,,D,1,0,0,0,0,-2,0,0,0,0,0,0,1,1,,0,0,4
Jonathon,Blum,MIN,MIN,,D,4,0,1,1,1,-3,3,1,0,0,0,0,1,2,,0,0,37
Mike,Blunden,TBL,TBL,,RW,2,0,0,0,0,-1,0,0,1,0,0,0,7,0,,0,0,14
Troy,Bodie,TOR,TOR,,RW,5,0,0,0,0,0,1,0,1,0,0,0,4,0,,0,0,10
Mikkel,Boedker,ARI,ARI,,LW,45,14,14,6,28,-10,79,28,43,0,0,0,66,9,1,12,2,1168
Zach,Bogosian,BUF,"WPG, BUF",41,D,62,3,17,6,20,-6,125,40,82,0,0,0,189,90,,2,0,1328
Alexandre,Bolduc,ARI,ARI,,C,3,0,0,0,0,-1,3,0,0,0,0,0,17,1,,0,0,42
Jared,Boll,CBJ,CBJ,,RW,72,1,4,3,5,-13,28,12,15,0,0,0,131,17,,0,0,477
Dave,Bolland,FLA,FLA,,C,53,6,17,11,23,4,76,30,22,1,0,1,88,21,3,5,0,1015
Brandon,Bollig,CGY,CGY,,LW,62,1,4,1,5,-9,67,20,25,0,0,0,137,23,,0,0,579
Nick,Bonino,VAN,VAN,,C,75,15,24,14,39,7,149,47,50,0,0,0,31,90,3,5,6,1685
David,Booth,TOR,TOR,,LW,59,7,6,5,13,-8,107,38,36,0,1,1,87,8,,0,2,789
Patrick,Bordeleau,COL,COL,,LW,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,4
Mark,Borowiecki,OTT,OTT,,D,63,1,10,4,11,15,30,20,27,0,0,0,233,102,,0,0,1005
Robert,Bortuzzo,STL,"PIT, STL",38,D,51,3,5,3,8,-9,56,26,42,0,0,0,157,61,,0,0,748
Reid,Boucher,NJD,NJD,,LW/C,11,1,0,0,1,-4,20,11,6,0,0,0,9,5,0,0,0,93
Eric,Boulton,NYI,NYI,,LW,10,2,0,0,2,-1,9,2,2,0,0,0,10,4,,0,0,96
Lance,Bouma,CGY,CGY,,C/LW,78,16,18,12,34,10,104,44,30,0,1,1,264,82,,1,4,1860
Michael,Bournival,MTL,MTL,,LW,29,3,2,1,5,3,27,6,13,0,0,0,26,10,,0,1,271
Gabriel,Bourque,NSH,NSH,,LW,69,3,10,7,13,-13,76,30,20,0,0,0,141,44,,0,0,847
Rene,Bourque,CBJ,"MTL, ANA, CBJ",13,RW,51,6,8,7,14,-15,85,41,40,0,0,0,71,11,,3,1,734
Ryan,Bourque,NYR,NYR,,C/LW,1,0,0,0,0,-1,1,2,0,0,0,0,0,0,,0,0,2
Jay,Bouwmeester,STL,STL,,D,72,2,11,6,13,7,92,56,51,0,0,0,42,99,,4,0,831
Drayson,Bowman,MTL,MTL,,LW,3,0,0,0,0,0,0,1,0,0,0,0,3,0,,0,0,6
Johnny,Boychuk,NYI,NYI,,D,72,9,26,13,35,15,192,79,117,0,1,1,171,149,,15,1,2089
Zach,Boychuk,CAR,CAR,,LW,31,3,3,2,6,0,35,10,12,0,0,0,40,9,0,0,0,318
Brad,Boyes,FLA,FLA,,RW,78,14,24,18,38,11,151,62,48,0,0,0,60,38,2,9,4,1618
Brian,Boyle,TBL,TBL,,C,82,15,9,7,24,3,140,38,46,3,0,3,136,68,,0,5,1448
Dan,Boyle,NYR,NYR,,D,65,9,11,3,20,18,116,48,80,0,0,0,49,79,0,8,3,1128
Tyler,Bozak,TOR,TOR,,C,82,23,26,16,49,-34,154,51,42,2,0,2,83,46,3,18,3,2071
Derick,Brassard,NYR,NYR,,C,80,19,41,16,60,9,168,49,64,0,0,0,106,13,,18,3,2314
Justin,Braun,SJS,SJS,,D,70,1,22,8,23,8,94,42,75,0,0,0,79,130,,2,0,1201
TJ,Brennan,TOR,TOR,,D,6,0,1,0,1,-7,11,3,9,0,0,0,2,5,,1,0,71
Eric,Brewer,TOR,"TBL, ANA, TOR",17,D,44,3,8,3,11,-5,33,21,36,0,1,1,87,72,,0,1,699
Daniel,Briere,COL,COL,,C,57,8,4,1,12,-7,69,27,17,0,0,0,19,9,1,0,3,554
TJ,Brodie,CGY,CGY,,D,81,11,30,15,41,15,133,49,101,1,2,3,27,178,,9,3,1911
Jonas,Brodin,MIN,MIN,,D,71,3,14,4,17,21,95,28,63,0,1,1,31,128,,2,1,993
Kyle,Brodziak,MIN,MIN,,C,73,9,11,6,20,-6,86,30,26,1,0,1,56,63,,0,0,930
Julien,Brouillette,WPG,WPG,,D,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,4
Troy,Brouwer,WSH,WSH,,RW,82,21,22,10,43,11,145,67,58,2,0,2,206,39,1,14,3,2095
Chris,Brown,WSH,WSH,,C,5,1,0,0,1,1,4,0,0,0,0,0,6,1,,0,0,47
Dustin,Brown,LAK,LAK,,RW/LW,82,11,16,12,27,-17,189,78,72,0,0,0,242,24,0,6,3,1705
J.T.,Brown,TBL,TBL,,RW,52,3,6,3,9,-2,74,26,24,0,0,0,43,20,,0,0,499
Mike,Brown,SJS,SJS,,RW,12,0,0,0,0,0,11,9,4,0,0,0,42,7,,0,0,120
Patrick,Brown,CAR,CAR,,C,7,0,0,0,0,-4,4,3,3,0,0,0,11,2,,0,0,34
Damien,Brunner,NJD,NJD,,RW/C,17,2,5,3,7,-1,29,14,16,0,0,0,7,3,0,4,0,293
Andre,Burakovsky,WSH,WSH,,LW,53,9,13,6,22,12,65,36,41,0,0,0,22,18,0,3,2,830
Adam,Burish,SJS,SJS,,RW,20,1,2,2,3,-6,22,9,7,0,0,0,11,19,,0,0,179
Brent,Burns,SJS,SJS,,D,82,17,43,24,60,-9,245,140,208,0,0,0,148,124,2,24,2,2814
Alexandre,Burrows,VAN,VAN,,RW/LW,70,18,15,9,33,0,145,54,37,1,0,1,73,33,1,8,3,1487
Chris,Butler,STL,STL,,D,33,3,6,3,9,8,54,10,27,1,0,1,31,38,,0,0,491
Dustin,Byfuglien,WPG,WPG,,D,69,18,27,8,45,5,209,97,117,0,1,1,203,59,,17,3,2317
Paul,Byron,CGY,CGY,,C/LW,57,6,13,6,19,-2,62,23,29,0,2,2,101,24,,1,0,899
Ryan,Callahan,TBL,TBL,,RW,77,24,30,21,54,9,191,51,63,0,0,0,184,46,2,16,4,2432
Matt,Calvert,CBJ,CBJ,,LW,56,13,10,6,23,1,93,31,32,0,1,1,92,20,0,0,3,1065
Mike,Cammalleri,NJD,NJD,,LW,68,27,15,7,42,2,156,48,55,2,0,2,30,17,1,11,8,1766
Andrew,Campbell,ARI,ARI,,D,33,0,1,0,1,-13,28,16,18,0,0,0,67,58,,0,0,331
Brian,Campbell,FLA,FLA,,D,82,3,24,13,27,4,118,38,63,0,0,0,44,85,0,12,0,1289
Gregory,Campbell,BOS,BOS,,C,70,6,6,3,12,1,64,17,25,1,0,1,119,41,,0,2,808
Daniel,Carcillo,CHI,CHI,,LW,39,4,4,3,8,3,42,19,11,0,0,0,36,7,,0,0,370
Paul,Carey,COL,COL,,C,10,0,1,1,1,2,5,6,3,0,0,0,12,2,,0,0,63
Matthew,Carle,TBL,TBL,,D,59,4,14,7,18,12,73,28,45,0,0,0,26,104,0,1,0,866
John,Carlson,WSH,WSH,,D,82,12,43,24,55,11,193,89,112,1,0,1,74,200,1,16,3,2549
Jordan,Caron,COL,"BOS, COL",11,RW,30,0,0,0,0,-2,12,5,10,0,0,0,41,8,,0,0,122
Sam,Carrick,TOR,TOR,,C,16,1,1,0,2,1,17,5,2,0,0,0,30,1,,0,0,146
Jeff,Carter,LAK,LAK,,C,82,28,34,18,62,7,218,113,89,1,1,2,76,33,2,15,5,2494
Ryan,Carter,MIN,MIN,,C,53,3,10,5,13,3,47,26,15,1,0,1,77,30,,0,0,653
Cody,Ceci,OTT,OTT,,D,81,5,16,9,21,-4,130,43,72,0,0,0,89,113,,4,0,1229
Michael,Chaput,CBJ,CBJ,,C,33,1,4,2,5,-8,23,12,5,0,0,0,59,20,,0,0,329
Zdeno,Chara,BOS,BOS,,D,63,8,12,5,20,0,138,40,76,0,3,3,125,99,0,5,0,1334
Ben,Chiarot,WPG,WPG,,D,40,2,6,4,8,5,37,17,34,0,0,0,70,51,,0,0,516
Alex,Chiasson,OTT,OTT,,RW,76,11,15,9,26,-5,105,36,34,0,1,1,93,20,0,6,1,1186
Jason,Chimera,WSH,WSH,,LW,77,7,12,9,19,-1,96,39,44,0,0,0,132,18,0,0,2,1007
Kyle,Chipchura,ARI,ARI,,C,70,4,10,4,14,-23,81,19,28,0,0,0,130,29,,1,0,840
Taylor,Chorney,PIT,PIT,,D,7,0,0,0,0,-1,4,5,4,0,0,0,5,3,,0,0,24
Casey,Cizikas,NYI,NYI,,C,70,9,9,4,18,-2,90,30,39,2,0,2,144,50,,1,2,1108
Mat,Clark,ANA,ANA,,D,7,0,1,1,1,2,2,1,4,0,0,0,10,5,,0,0,59
David,Clarkson,CBJ,"TOR, CBJ",58,RW,61,10,5,1,15,-12,95,48,26,0,0,0,133,19,,1,1,899
Daniel,Cleary,DET,DET,,RW,17,1,1,0,2,-4,17,5,6,0,0,0,21,9,,0,0,144
Adam,Clendening,VAN,"CHI, VAN",4,D,21,1,3,1,4,2,17,13,19,0,0,0,9,22,,3,0,226
Marc-Andre,Cliche,COL,COL,,C/RW,74,2,5,4,7,-2,68,10,23,0,0,0,27,28,,0,0,421
Kyle,Clifford,LAK,LAK,,LW,80,6,9,6,15,5,117,36,39,0,0,0,200,14,,0,1,1057
Grant,Clitsome,WPG,WPG,,D,24,0,4,3,4,4,22,7,27,0,0,0,46,20,,0,0,276
Ryane,Clowe,NJD,NJD,,LW,13,1,3,2,4,-1,15,3,8,0,0,0,21,1,,0,0,174
Rich,Clune,NSH,NSH,,LW,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,6
Cal,Clutterbuck,NYI,NYI,,RW,76,7,9,8,16,1,124,52,43,2,1,3,343,31,1,1,4,1546
Braydon,Coburn,TBL,"PHI, TBL",39,D,43,1,10,4,11,2,46,28,43,0,0,0,62,66,,0,0,623
Andrew,Cogliano,ANA,ANA,,LW/C,82,15,14,12,29,5,134,58,52,3,0,3,139,30,,0,2,1431
Carlo,Colaiacovo,PHI,PHI,,D,33,2,6,4,8,0,42,30,36,0,0,0,46,33,,2,0,462
Joe,Colborne,CGY,CGY,,C,64,8,20,12,28,7,67,30,31,1,0,1,158,35,1,5,1,1310
Erik,Cole,DET,"DAL, DET",57,LW,68,21,18,14,39,2,122,40,51,1,0,1,134,20,0,9,0,1637
Ian,Cole,PIT,"STL, PIT",54,D,74,5,12,4,17,14,83,44,58,0,0,0,73,99,,1,0,945
Sean,Collins,CBJ,CBJ,,C,8,0,2,0,2,0,4,1,2,0,0,0,18,0,,0,0,94
Blake,Comeau,PIT,PIT,,LW,61,16,15,10,31,6,147,45,77,0,0,0,188,11,,1,5,1577
Cory,Conacher,NYI,NYI,,C/LW,15,1,2,0,3,-3,23,6,3,0,0,0,19,7,,0,0,173
Erik,Condra,OTT,OTT,,RW,68,9,14,9,23,13,106,35,52,1,1,2,33,53,,0,1,1019
Kevin,Connauton,CBJ,"DAL, CBJ",8,D,62,9,12,7,21,5,96,38,65,0,0,0,83,48,0,3,4,1089
Chris,Conner,WSH,WSH,,RW,2,0,0,0,0,1,3,2,2,0,0,0,0,0,,0,0,6
Brett,Connolly,BOS,"TBL, BOS",50,RW,55,12,5,2,17,3,83,28,32,0,0,0,90,13,,3,2,867
Matt,Cooke,MIN,MIN,,LW,29,4,6,3,10,0,24,7,17,0,0,0,39,22,,0,0,420
Andrew,Copp,WPG,WPG,,C,1,0,1,1,1,2,4,0,0,0,0,0,0,0,,0,0,33
Patrice,Cormier,WPG,WPG,,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,2
Frank,Corrado,VAN,VAN,,D,10,1,0,0,1,-7,8,5,3,0,0,0,15,12,,0,0,95
Nick,Cousins,PHI,PHI,,C,11,0,0,0,0,1,6,1,2,0,0,0,13,5,1,0,0,48
Logan,Couture,SJS,SJS,,C,82,27,40,23,67,-6,263,117,118,2,0,2,85,71,3,24,4,2873
Sean,Couturier,PHI,PHI,,C,82,15,22,13,37,4,148,53,70,1,1,2,72,35,1,6,0,1535
Jared,Cowen,OTT,OTT,,D,54,3,6,2,9,-11,47,19,38,0,0,0,159,76,,0,1,809
Charlie,Coyle,MIN,MIN,,C,82,11,24,13,35,13,120,51,43,0,0,0,137,52,1,3,4,1603
Adam,Cracknell,CBJ,CBJ,,RW,17,0,1,1,1,-8,17,9,3,0,0,0,43,6,,0,0,157
Ryan,Craig,CBJ,CBJ,,C,2,0,0,0,0,0,2,1,0,0,0,0,2,0,,0,0,8
B.J.,Crombeen,ARI,ARI,,RW,58,3,3,1,6,-6,43,16,24,0,0,0,68,12,,0,0,396
Sidney,Crosby,PIT,PIT,,C,77,28,56,31,84,5,237,78,65,0,0,0,66,29,5,31,3,3134
Matt,Cullen,NSH,NSH,,C,62,7,18,7,25,8,90,40,32,0,0,0,10,18,1,4,1,921
Kyle,Cumiskey,CHI,CHI,,D,7,0,0,0,0,-1,5,4,3,0,0,0,3,11,,0,0,38
Craig,Cunningham,ARI,"BOS, ARI",32,LW/RW,51,3,4,3,7,-7,54,12,10,1,0,1,107,31,,0,0,579
Jerry,D'Amigo,BUF,BUF,,RW,9,0,0,0,0,-4,7,1,1,0,0,0,8,7,,0,0,44
Klas,Dahlbeck,ARI,"CHI, ARI",4,D,23,1,3,2,4,-8,20,19,15,0,0,0,64,46,,0,0,360
Trevor,Daley,DAL,DAL,,D,68,16,22,14,38,-13,113,61,70,2,0,2,29,123,0,12,2,1680
Zac,Dalpe,BUF,BUF,,C,21,1,2,0,3,-11,29,6,8,0,0,0,15,8,,0,0,179
Phillip,Danault,CHI,CHI,,C/LW,2,0,0,0,0,0,2,1,1,0,0,0,3,0,,0,0,10
Marko,Dano,CBJ,CBJ,,C,35,8,13,8,21,12,84,20,25,0,0,0,94,12,,0,1,925
Pavel,Datsyuk,DET,DET,,C,63,26,39,24,65,12,165,58,68,0,0,0,51,28,3,24,5,2453
Brandon,Davidson,EDM,EDM,,D,12,1,0,0,1,-5,7,7,6,0,0,0,18,22,,0,0,119
Calvin,de Haan,NYI,NYI,,D,65,1,11,5,12,3,92,43,74,1,0,1,140,130,,1,0,1054
Jacob,De La Rose,MTL,MTL,,LW,33,4,2,1,6,-5,38,10,19,1,0,1,71,24,,0,0,436
Brandon,Defazio,VAN,VAN,,LW,2,0,0,0,0,0,2,1,1,0,0,0,0,0,,0,0,4
Danny,DeKeyser,DET,DET,,D,80,2,29,10,31,11,89,56,72,0,0,0,74,88,,6,1,1357
Michael,Del Zotto,PHI,PHI,,D,64,10,22,11,32,-5,119,41,64,1,0,1,153,128,,8,4,1780
Jason,Demers,DAL,"SJS, DAL",20,D,81,5,20,8,25,-3,99,65,87,0,0,0,118,85,,5,2,1319
David,Desharnais,MTL,MTL,,C,82,14,34,16,48,22,90,31,51,0,0,0,43,49,4,11,4,1754
Andrew,Desjardins,CHI,"SJS, CHI",56,C,69,5,5,0,10,-1,59,12,30,0,0,0,128,35,,0,1,714
Nicolas,Deslauriers,BUF,BUF,,LW,82,5,10,6,15,-24,76,34,33,0,1,1,261,36,,0,1,1161
Simon,Despres,ANA,"PIT, ANA",59,D,75,3,20,10,23,11,103,41,71,0,0,0,233,101,0,1,1,1479
Raphael,Diaz,CGY,CGY,,D,56,2,2,1,4,-3,52,34,46,0,0,0,24,67,,1,1,416
Brenden,Dillon,SJS,"DAL, SJS",20,D,80,2,8,3,10,-13,91,63,112,1,1,2,154,139,,0,1,1078
Shane,Doan,ARI,ARI,,RW,79,14,22,16,36,-29,189,67,59,0,0,0,189,26,1,10,0,1808
Matt,Donovan,NYI,NYI,,D,12,0,3,3,3,4,12,11,15,0,0,0,22,16,,0,0,175
Derek,Dorsett,VAN,VAN,,RW,79,7,18,10,25,4,89,48,29,2,0,2,166,37,,0,3,1309
Drew,Doughty,LAK,LAK,,D,82,7,39,21,46,3,219,104,165,0,1,1,152,144,0,17,2,2410
Steve,Downie,PIT,PIT,,RW,72,14,14,8,28,2,104,18,36,0,0,0,108,34,0,5,2,1282
Leon,Draisaitl,EDM,EDM,,C,37,2,7,6,9,-17,49,18,10,0,0,0,21,8,,2,1,421
Jonathan,Drouin,TBL,TBL,,LW,70,4,28,16,32,3,76,32,46,0,0,0,55,16,0,6,0,1154
Brandon,Dubinsky,CBJ,CBJ,,C,47,13,23,11,36,11,100,28,41,1,0,1,152,11,0,7,1,1536
Matt,Duchene,COL,COL,,C,82,21,34,19,55,3,207,75,62,0,0,0,43,74,6,7,4,2173
Anthony,Duclair,NYR,NYR,,LW,18,1,6,4,7,4,18,8,10,0,0,0,6,5,,1,0,243
Matt,Dumba,MIN,MIN,,D,58,8,8,3,16,13,86,39,63,0,0,0,42,51,,6,2,858
Gabriel,Dumont,MTL,MTL,,C,3,0,0,0,0,-1,4,0,1,0,0,0,8,2,,0,0,28
Brian,Dumoulin,PIT,PIT,,D,8,1,0,0,1,0,4,0,1,0,0,0,11,9,,0,0,73
Pascal,Dupuis,PIT,PIT,,RW/LW,16,6,5,3,11,2,44,10,11,0,1,1,20,8,,3,1,489
Patrick,Dwyer,CAR,CAR,,RW,71,5,7,4,12,-12,77,28,33,0,1,1,145,38,,0,0,840
Cody,Eakin,DAL,DAL,,C,78,19,21,6,40,-1,142,63,62,2,1,3,62,59,,4,6,1746
Patrick,Eaves,DAL,DAL,,RW,47,14,13,6,27,12,91,51,40,0,0,0,69,27,0,9,2,1179
Andrew,Ebbett,PIT,PIT,,C,24,1,5,3,6,1,21,5,11,0,0,0,10,12,,0,0,236
Jordan,Eberle,EDM,EDM,,RW/C,81,24,39,25,63,-16,183,52,67,0,0,0,62,36,2,21,2,2387
Alexander,Edler,VAN,VAN,,D,74,8,23,8,31,13,175,64,125,0,0,0,94,126,,14,2,1745
Christian,Ehrhoff,PIT,PIT,,D,49,3,11,6,14,8,110,57,59,0,0,0,73,49,,2,3,894
Aaron,Ekblad,FLA,FLA,,D,81,12,27,10,39,12,170,68,113,0,0,0,109,80,0,13,4,1903
Mattias,Ekholm,NSH,NSH,,D,80,7,11,3,18,12,86,25,87,0,0,0,57,102,,2,1,980
Oliver,Ekman-Larsson,ARI,ARI,,D,82,23,20,13,43,-18,264,127,180,1,0,1,167,77,0,20,7,2451
Patrik,Elias,NJD,NJD,,C/LW,69,13,21,12,34,-20,114,47,36,0,2,2,23,25,3,9,1,1324
Lars,Eller,MTL,MTL,,C,77,15,12,8,27,-6,150,47,45,0,2,2,76,37,0,2,7,1401
Keaton,Ellerby,WPG,WPG,,D,1,0,1,0,1,-1,0,0,1,0,0,0,1,1,,0,0,29
Stefan,Elliott,COL,COL,,D,5,0,0,0,0,-2,10,3,6,0,0,0,2,5,,0,0,34
