First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Marcus,Kruger,CHI,CHI,,C,81,7,10,6,17,-5,126,29,36,0,0,0,29,50,,0,1,855
Nikita,Kucherov,TBL,TBL,,RW,82,29,36,22,65,38,191,68,62,0,0,0,65,28,2,15,2,2383
Brett,Kulak,CGY,CGY,,D,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0
Nikolay,Kulemin,NYI,NYI,,LW,82,15,16,7,31,7,115,50,47,3,1,4,129,58,0,0,0,1459
Dmitry,Kulikov,FLA,FLA,,D,73,3,19,6,22,0,83,35,65,0,1,1,114,105,0,6,0,1234
Chris,Kunitz,PIT,PIT,,LW,74,17,23,16,40,2,170,64,70,1,0,1,211,29,0,16,5,2100
Evgeny,Kuznetsov,WSH,WSH,,C,80,11,26,17,37,10,127,49,54,0,0,0,43,15,5,13,1,1445
Andrew,Ladd,WPG,WPG,,LW,81,24,38,24,62,9,224,82,76,0,1,1,212,38,2,19,6,2828
Brooks,Laich,WSH,WSH,,C,66,7,13,7,20,-2,106,29,36,0,1,1,107,53,1,1,2,1102
Anton,Lander,EDM,EDM,,C,38,6,14,6,20,-12,61,14,13,0,0,0,59,12,0,7,2,874
Gabriel,Landeskog,COL,COL,,LW,82,23,36,21,59,-2,214,66,69,0,0,0,169,73,1,17,2,2597
Maxim,Lapierre,PIT,"STL, PIT",45,C,80,2,9,6,11,-15,86,24,22,0,0,0,153,36,,0,0,825
Adam,Larsson,NJD,NJD,,D,64,3,21,9,24,2,91,33,54,0,3,3,92,120,,0,1,1286
Johan,Larsson,BUF,BUF,,LW,39,6,10,4,16,0,50,22,16,0,0,0,59,19,,4,0,696
Brian,Lashoff,DET,DET,,D,11,0,2,0,2,4,7,3,2,0,0,0,7,14,,0,0,106
Michael,Latta,WSH,WSH,,C,53,0,6,4,6,4,24,11,16,0,0,0,91,14,0,0,0,408
Scott,Laughton,PHI,PHI,,C/LW,31,2,4,3,6,-1,51,14,24,0,0,0,58,11,0,1,0,400
Oliver,Lauridsen,PHI,PHI,,D,1,0,0,0,0,-1,2,1,0,0,0,0,2,0,,0,0,8
Curtis,Lazar,OTT,OTT,,C,67,6,9,6,15,1,92,34,39,0,0,0,167,40,,0,0,973
Vincent,Lecavalier,PHI,PHI,,C,57,8,12,9,20,-7,103,41,43,0,0,0,40,15,0,4,0,856
Nick,Leddy,NYI,NYI,,D,78,10,27,9,37,18,120,46,70,0,1,1,73,90,,12,1,1651
Anders,Lee,NYI,NYI,,C,76,25,16,9,41,9,197,65,41,0,0,0,169,29,,6,6,1995
David,Legwand,OTT,OTT,,C,80,9,18,11,27,1,91,28,43,0,2,2,43,25,0,12,0,1153
Jori,Lehtera,STL,STL,,C,75,14,30,19,44,21,103,30,42,1,1,2,43,35,1,7,2,1612
Josh,Leivo,TOR,TOR,,LW,9,1,0,0,1,-1,10,3,3,0,0,0,5,0,,0,0,55
Jordan,Leopold,MIN,"STL, CBJ, MIN",7,D,43,1,3,2,4,-6,39,6,27,0,0,0,33,50,,1,0,354
Bryan,Lerg,SJS,SJS,,C/LW,2,1,0,0,1,-1,8,1,0,0,0,0,3,0,,0,1,67
Lucas,Lessio,ARI,ARI,,LW,26,2,3,1,5,-10,44,10,9,0,0,0,59,6,1,0,0,343
Kris,Letang,PIT,PIT,,D,69,11,43,20,54,12,197,59,126,1,0,1,131,117,2,24,1,2520
Mark,Letestu,CBJ,CBJ,,C,54,7,6,4,13,-9,63,15,23,1,0,1,51,24,2,1,1,651
Trevor,Lewis,LAK,LAK,,C,73,9,16,8,25,8,143,40,38,1,0,1,192,19,0,0,2,1393
John-Michael,Liles,CAR,CAR,,D,57,2,20,6,22,-9,90,45,59,0,0,0,71,74,,7,0,1090
Oscar,Lindberg,NYR,NYR,,C,1,0,0,0,0,0,2,0,1,0,0,0,3,0,,0,0,10
Matt,Lindblad,BOS,BOS,,C/LW,2,0,0,0,0,0,3,1,1,0,0,0,2,0,,0,0,10
Petteri,Lindbohm,STL,STL,,D,23,2,1,1,3,-1,32,8,13,0,0,0,26,22,,0,0,235
Elias,Lindholm,CAR,CAR,,C,81,17,22,13,39,-23,170,53,79,0,0,0,106,30,2,15,4,1817
Hampus,Lindholm,ANA,ANA,,D,78,7,27,15,34,25,107,44,84,0,0,0,59,77,,6,1,1416
Joakim,Lindstrom,TOR,"STL, TOR",34,C,53,4,6,3,10,-15,61,22,34,0,0,0,14,5,1,5,0,460
Bryan,Little,WPG,WPG,,C,70,24,28,15,52,8,148,55,70,1,0,1,56,32,2,18,3,2032
Ben,Lovejoy,PIT,"ANA, PIT",40,D,60,2,12,4,14,-4,86,39,50,0,2,2,170,105,,0,0,1112
Keegan,Lowe,CAR,CAR,,D,2,0,0,0,0,-2,0,0,4,0,0,0,3,4,,0,0,14
Adam,Lowry,WPG,WPG,,LW,80,11,12,9,23,1,104,41,39,1,0,1,256,32,,3,2,1449
Milan,Lucic,BOS,BOS,,LW,81,18,26,17,44,13,141,73,61,0,0,0,259,23,0,8,4,2106
Joffrey,Lupul,TOR,TOR,,LW/RW,55,10,11,7,21,-10,97,42,31,0,0,0,78,20,2,3,1,965
Olli,Maatta,PIT,PIT,,D,20,1,8,4,9,1,27,11,18,0,0,0,18,33,,2,0,401
Clarke,MacArthur,OTT,OTT,,LW,62,16,20,13,36,-6,140,47,57,0,0,0,70,17,0,10,5,1554
Andrew,MacDonald,PHI,PHI,,D,58,2,10,4,12,-5,62,36,54,0,0,0,35,86,,5,0,716
Derek,MacKenzie,FLA,FLA,,C,82,5,6,2,11,-17,72,28,24,0,0,0,273,51,1,1,0,1077
Nathan,MacKinnon,COL,COL,,C,64,14,24,15,38,-7,192,65,66,0,0,0,43,41,6,7,2,1612
Andrew,MacWilliam,TOR,TOR,,D,12,0,2,0,2,-6,5,2,6,0,0,0,35,20,,0,0,170
Manny,Malhotra,MTL,MTL,,C,58,1,3,1,4,-6,46,17,16,0,0,0,37,62,,0,1,410
Evgeni,Malkin,PIT,PIT,,C,69,28,42,21,70,-2,212,94,81,0,0,0,24,18,1,26,4,2598
Brad,Malone,CAR,CAR,,C,65,7,8,5,15,-8,65,33,19,0,0,0,162,16,,0,2,901
Ryan,Malone,NYR,NYR,,LW,6,0,0,0,0,-4,6,2,0,0,0,0,14,2,,0,0,44
Brandon,Manning,PHI,PHI,,D,11,0,3,2,3,3,10,6,8,0,0,0,19,13,,0,0,159
Josh,Manson,ANA,ANA,,D,28,0,3,1,3,1,26,8,21,0,0,0,44,24,,0,0,263
Brad,Marchand,BOS,BOS,,LW/C,77,24,18,14,42,5,180,65,67,2,1,3,72,28,2,2,5,1790
Alexey,Marchenko,DET,DET,,D,13,1,1,0,2,1,7,4,8,0,0,0,9,10,,0,0,102
Jonathan,Marchessault,TBL,TBL,,C,2,1,0,0,1,1,3,1,1,0,0,0,4,0,,0,0,39
Martin,Marincin,EDM,EDM,,D,41,1,4,2,5,-4,38,29,47,0,0,0,17,59,1,0,0,353
Andrei,Markov,MTL,MTL,,D,81,10,40,24,50,22,135,76,116,0,1,1,53,173,0,25,1,2262
Patrick,Marleau,SJS,SJS,,LW/C,82,19,38,21,57,-17,233,75,103,0,0,0,85,28,1,24,4,2437
Patrick,Maroon,ANA,ANA,,LW,71,9,25,19,34,-5,120,56,26,0,0,0,120,10,,7,1,1440
Matt,Martin,NYI,NYI,,LW,78,8,6,3,14,-4,90,28,24,0,0,0,382,36,,0,2,1406
Paul,Martin,PIT,PIT,,D,74,3,17,11,20,17,61,43,59,0,0,0,60,139,,1,0,1030
Alec,Martinez,LAK,LAK,,D,56,6,16,9,22,9,103,48,81,0,0,0,95,117,,4,1,1240
Jordan,Martinook,ARI,ARI,,LW/C,8,0,1,0,1,-3,8,12,2,0,0,0,14,2,,0,0,73
Stefan,Matteau,NJD,NJD,,LW/C,7,1,0,0,1,0,8,2,3,0,0,0,17,1,,0,0,77
Shawn,Matthias,VAN,VAN,,C,78,18,9,7,27,-3,132,53,30,0,1,1,66,33,,1,0,1167
Jamie,McBain,LAK,LAK,,D,26,3,6,1,9,4,18,20,22,0,0,0,21,28,,3,0,389
Jake,McCabe,BUF,BUF,,D,2,0,0,0,0,0,2,1,0,0,0,0,4,1,,0,0,14
Jay,McClement,CAR,CAR,,C,82,7,14,8,21,-7,68,28,25,0,0,0,79,53,0,0,2,965
Cody,McCormick,BUF,BUF,,C,33,1,3,3,4,-9,31,9,15,1,0,1,77,29,,0,0,394
Ryan,McDonagh,NYR,NYR,,D,71,8,25,12,33,23,148,50,78,0,3,3,77,139,,12,2,1773
Colin,McDonald,NYI,NYI,,RW,18,2,6,4,8,-3,29,10,9,0,0,0,72,6,,0,0,414
Jamie,McGinn,COL,COL,,LW,19,4,2,0,6,-9,36,13,2,0,0,0,29,7,,1,0,304
Tye,McGinn,ARI,"SJS, ARI",33,LW,51,2,5,3,7,0,60,23,36,0,0,0,71,17,,0,0,471
Brian,McGrattan,CGY,CGY,,RW,8,0,0,0,0,-2,10,4,1,0,0,0,11,1,,0,0,44
Dylan,McIlrath,NYR,NYR,,D,1,0,0,0,0,0,0,0,0,0,0,0,2,3,,0,0,10
Greg,McKegg,TOR,TOR,,C,3,0,0,0,0,0,1,0,0,0,0,0,3,2,,0,0,12
Curtis,McKenzie,DAL,DAL,,LW,36,4,1,1,5,-8,41,25,11,0,0,0,85,13,,0,0,403
Cody,McLeod,COL,COL,,LW,82,7,5,1,12,-2,94,20,20,1,0,1,268,43,,0,2,1170
Brandon,McMillan,VAN,"ARI, VAN",50,LW/C,58,1,3,0,4,-19,51,24,27,0,0,0,91,23,,0,0,430
Brayden,McNabb,LAK,LAK,,D,71,2,22,8,24,11,74,50,72,0,0,0,175,56,,5,1,1280
Adam,McQuaid,BOS,BOS,,D,63,1,6,2,7,-2,60,26,49,0,0,0,141,91,,0,0,759
Jayson,Megna,PIT,PIT,,C/RW,12,0,1,0,1,-2,13,4,6,0,0,0,40,8,,0,0,147
Jon,Merrill,NJD,NJD,,D,66,2,12,4,14,-14,47,31,37,0,1,1,59,89,,4,0,800
Andrej,Meszaros,BUF,BUF,,D,60,7,7,3,14,-13,67,25,47,0,0,0,67,94,,1,1,836
Marc,Methot,OTT,OTT,,D,45,1,10,2,11,22,49,18,24,0,0,0,94,70,,0,0,701
Milan,Michalek,OTT,OTT,,LW,66,13,21,12,34,3,130,55,50,1,0,1,64,40,1,10,1,1458
Zbynek,Michalek,STL,"ARI, STL",53,D,68,4,8,4,12,-3,86,34,69,0,0,0,85,160,,0,0,962
Andrew,Miller,EDM,EDM,,C,9,1,5,3,6,-2,14,5,2,0,0,0,7,6,,0,0,204
Drew,Miller,DET,DET,,LW,82,5,8,5,13,-3,98,23,29,1,0,1,119,99,,1,0,987
J.T.,Miller,NYR,NYR,,C,58,10,13,8,23,5,92,35,28,0,0,0,89,28,0,3,3,1083
Kevan,Miller,BOS,BOS,,D,41,2,5,1,7,20,37,19,31,0,0,0,87,60,,0,1,563
John,Mitchell,COL,COL,,C,68,11,15,8,26,-9,105,39,59,1,0,1,143,56,0,4,1,1338
Torrey,Mitchell,MTL,"BUF, MTL",51,C/RW,65,6,8,5,14,-8,55,16,24,0,0,0,58,61,,0,2,738
Willie,Mitchell,FLA,FLA,,D,66,3,5,3,8,1,78,31,74,0,1,1,99,144,0,0,0,862
Travis,Moen,DAL,"MTL, DAL",10,LW,44,3,6,4,9,0,34,11,9,0,0,0,62,24,,0,0,465
Sean,Monahan,CGY,CGY,,C,81,31,31,20,62,8,191,75,78,1,1,2,39,42,2,19,8,2484
Dominic,Moore,NYR,NYR,,C,82,10,17,9,27,5,116,41,47,2,0,2,55,45,0,1,3,1217
John,Moore,ARI,"NYR, ARI",38,D,57,2,9,3,11,-4,77,39,65,0,0,0,77,52,,4,0,727
Jeremy,Morin,CBJ,"CHI, CBJ",15,LW/RW,43,2,4,4,6,1,73,15,21,0,0,0,45,5,1,0,0,396
Travis,Morin,DAL,DAL,,C,6,0,0,0,0,1,10,5,6,0,0,0,3,0,,0,0,26
Brenden,Morrow,TBL,TBL,,LW,70,3,5,4,8,-1,28,19,13,0,0,0,112,16,0,0,0,512
Joe,Morrow,BOS,BOS,,D,15,1,0,0,1,3,20,10,18,0,0,0,18,22,,0,0,145
David,Moss,ARI,ARI,,RW,60,4,8,5,12,-18,96,35,35,0,1,1,115,36,,2,0,834
Kael,Mouillierat,NYI,NYI,,LW,6,1,1,0,2,-3,1,2,1,0,0,0,8,3,,0,0,74
Matt,Moulson,BUF,BUF,,LW,77,13,28,17,41,-11,156,51,46,0,0,0,34,49,2,11,2,1653
Chris,Mueller,NYR,NYR,,C,7,1,1,0,2,-1,10,3,4,0,0,0,3,1,,1,0,88
Mirco,Mueller,SJS,SJS,,D,39,1,3,1,4,-8,31,13,25,0,0,0,49,58,,0,0,376
Connor,Murphy,ARI,ARI,,D,73,4,3,1,7,-27,72,37,51,0,0,0,137,142,,0,0,877
Ryan,Murphy,CAR,CAR,,D,37,4,9,8,13,-11,61,22,44,0,0,0,20,37,0,5,1,631
Ryan,Murray,CBJ,CBJ,,D,12,1,2,1,3,1,8,4,5,0,0,0,5,11,,1,0,133
David,Musil,EDM,EDM,,D,4,0,2,1,2,-2,3,1,3,0,0,0,5,8,,0,0,82
Jake,Muzzin,LAK,LAK,,D,76,10,31,12,41,-4,173,79,133,0,1,1,186,108,,14,3,2179
Tyler,Myers,WPG,"BUF, WPG",,D,71,7,21,12,28,-6,124,35,61,0,2,2,65,132,,6,0,1442
Vladislav,Namestnikov,TBL,TBL,,C,43,9,7,4,16,1,46,14,12,0,0,0,41,13,,2,3,680
Rick,Nash,NYR,NYR,,LW,79,42,27,20,69,29,304,80,110,4,1,5,45,33,2,12,8,2869
Riley,Nash,CAR,CAR,,C,68,8,17,11,25,-10,94,30,48,0,0,0,88,46,0,6,0,1141
James,Neal,NSH,NSH,,LW,67,23,14,9,37,12,222,91,116,0,0,0,71,30,1,4,6,1731
Chris,Neil,OTT,OTT,,RW,38,4,3,2,7,5,23,12,12,0,0,0,136,11,,1,0,525
Brock,Nelson,NYI,NYI,,C,82,20,22,10,42,6,190,61,68,0,0,0,99,52,0,15,3,1942
Patrik,Nemeth,DAL,DAL,,D,22,0,3,1,3,0,16,7,18,0,0,0,28,21,,0,0,205
Nikita,Nesterov,TBL,TBL,,D,27,2,5,0,7,6,44,19,21,0,0,0,42,17,,2,0,401
Andrej,Nestrasil,CAR,"DET, CAR",13,C,54,7,13,9,20,-1,82,47,19,0,0,0,54,17,0,5,0,856
Valeri,Nichushkin,DAL,DAL,,RW,8,0,1,0,1,-5,6,6,7,0,0,0,7,1,,0,0,53
Nino,Niederreiter,MIN,MIN,,RW,80,24,13,7,37,2,149,65,57,1,0,1,155,32,0,8,5,1797
Frans,Nielsen,NYI,NYI,,C,78,14,29,18,43,8,157,70,83,1,2,3,48,80,5,18,4,1965
Matt,Nieto,SJS,SJS,,LW,72,10,17,10,27,-12,135,45,41,0,1,1,24,38,0,4,1,1149
Nikita,Nikitin,EDM,EDM,,D,42,4,6,3,10,-12,80,23,46,0,0,0,21,49,,3,1,600
Matt,Niskanen,WSH,WSH,,D,82,4,27,17,31,7,117,75,93,0,1,1,143,106,0,10,0,1627
Stefan,Noesen,ANA,ANA,,RW,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,2
Jordan,Nolan,LAK,LAK,,C,60,6,3,2,9,-6,44,23,22,0,0,0,102,11,,0,1,559
Joakim,Nordstrom,CHI,CHI,,LW/C,38,0,3,1,3,-5,42,20,25,0,0,0,73,17,,0,0,339
Ryan,Nugent-Hopkins,EDM,EDM,,C,76,24,32,15,56,-12,189,62,108,0,1,1,92,37,1,14,2,2236
Darnell,Nurse,EDM,EDM,,D,2,0,0,0,0,-2,2,0,2,0,0,0,5,0,,0,0,14
Gustav,Nyquist,DET,DET,,RW/C,82,27,27,14,54,-11,195,56,89,0,0,0,43,31,8,24,4,2208
Eric,Nystrom,NSH,NSH,,LW,60,7,5,2,12,0,60,21,16,1,0,1,104,29,,0,1,726
Liam,O'Brien,WSH,WSH,,C,13,1,1,1,2,4,16,3,3,0,0,0,35,0,,0,0,152
Shane,O'Brien,FLA,FLA,,D,9,0,1,1,1,-4,4,0,1,0,0,0,36,12,,0,0,129
Eric,O'Dell,WPG,WPG,,C,11,0,1,1,1,0,6,5,4,0,0,0,14,0,,0,0,65
Ryan,O'Reilly,COL,COL,,C/LW,82,17,38,25,55,-5,171,49,53,1,1,2,38,48,3,12,1,2069
Johnny,Oduya,CHI,CHI,,D,76,2,8,5,10,5,76,34,89,0,0,0,69,123,,0,0,786
Jordan,Oesterle,EDM,EDM,,D,6,0,1,1,1,-4,7,4,5,0,0,0,2,3,,0,0,49
Kyle,Okposo,NYI,NYI,,RW,60,18,33,19,51,-8,195,79,75,0,0,0,53,23,5,18,2,2037
Jamie,Oleksiak,DAL,DAL,,D,36,1,7,2,8,0,36,11,14,0,0,0,82,46,,0,0,528
Steve,Oleksy,WSH,WSH,,D,1,0,0,0,0,-1,1,0,1,0,0,0,2,0,,0,0,6
Dylan,Olsen,FLA,FLA,,D,44,2,6,2,8,-7,44,16,31,0,0,0,77,52,1,1,0,556
Brooks,Orpik,WSH,WSH,,D,78,0,19,7,19,5,66,24,78,0,0,0,306,192,1,0,0,1603
Colton,Orr,TOR,TOR,,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
T.J.,Oshie,STL,STL,,RW/C,72,19,36,23,55,17,162,69,58,0,0,0,99,39,4,13,4,2185
Steve,Ott,STL,STL,,C,78,3,9,4,12,-8,49,24,32,0,0,0,184,14,,0,0,794
Xavier,Ouellet,DET,DET,,D,21,2,1,1,3,4,27,16,23,0,0,0,11,13,,0,0,177
Alex,Ovechkin,WSH,WSH,,LW,81,53,28,21,81,10,395,200,228,0,0,0,259,32,2,34,11,3957
Magnus,Paajarvi,STL,STL,,LW,10,0,1,0,1,-2,9,5,2,0,0,0,8,0,,1,0,69
Max,Pacioretty,MTL,MTL,,LW,80,37,30,17,67,38,302,108,151,3,2,5,106,38,2,11,10,2977
Jean-Gabriel,Pageau,OTT,OTT,,C,50,10,9,4,19,4,97,27,23,2,0,2,158,20,,0,2,1105
Daniel,Paille,BOS,BOS,,LW,71,6,7,6,13,-9,66,36,15,1,1,2,77,34,,0,1,739
Iiro,Pakarinen,EDM,EDM,,RW,17,1,2,0,3,-4,34,4,15,0,0,0,51,3,0,2,0,271
Ondrej,Palat,TBL,TBL,,LW,75,16,47,25,63,31,139,62,66,1,1,2,124,50,0,11,5,2451
Michael,Paliotta,CHI,CHI,,D,1,0,1,0,1,0,2,1,0,0,0,0,0,2,,0,0,33
Kyle,Palmieri,ANA,ANA,,RW/C,57,14,15,7,29,-2,112,60,42,0,0,0,97,24,0,11,4,1381
Richard,Panik,TOR,TOR,,RW,76,11,6,4,17,-8,87,32,33,0,0,0,101,57,,2,1,955
Cedric,Paquette,TBL,TBL,,C,64,12,7,4,19,4,91,38,24,2,0,2,127,58,,0,3,1127
Adam,Pardy,WPG,WPG,,D,55,0,9,5,9,9,29,12,38,0,1,1,74,59,,0,0,569
Pierre-Alexandre,Parenteau,MTL,MTL,,RW,56,8,14,9,22,0,97,35,45,0,0,0,32,19,4,4,1,906
Zach,Parise,MIN,MIN,,LW,74,33,29,15,62,21,259,81,66,0,0,0,86,56,2,16,3,2572
David,Pastrnak,BOS,BOS,,RW,46,10,17,8,27,12,93,42,40,0,0,0,20,11,0,3,3,1013
Greg,Pateryn,MTL,MTL,,D,17,0,0,0,0,0,10,3,8,0,0,0,48,18,,0,0,152
Joe,Pavelski,SJS,SJS,,C,82,37,33,22,70,12,261,97,81,0,0,0,97,86,2,31,5,3048
Tanner,Pearson,LAK,LAK,,LW,42,12,4,2,16,14,68,38,25,0,0,0,46,9,,1,3,716
Anthony,Peluso,WPG,WPG,,RW,49,1,1,1,2,-3,23,9,10,0,0,0,100,5,,0,0,306
Stuart,Percy,TOR,TOR,,D,9,0,3,3,3,-4,13,4,7,0,0,0,14,13,,2,0,175
Mathieu,Perreault,WPG,WPG,,C,62,18,23,18,41,7,129,39,53,0,0,0,78,13,1,12,2,1625
David,Perron,PIT,"EDM, PIT",38,LW,81,17,24,14,41,-25,196,50,77,0,0,0,171,21,4,9,2,1931
Corey,Perry,ANA,ANA,,RW,67,33,22,15,55,13,193,76,80,0,0,0,64,27,3,7,3,2073
Alex,Petrovic,FLA,FLA,,D,33,0,3,0,3,-4,29,8,23,0,0,0,76,34,,0,0,353
Jeff,Petry,MTL,"EDM, MTL",59,D,78,7,15,9,22,-28,126,59,110,0,1,1,145,109,0,4,1,1390
Dion,Phaneuf,TOR,TOR,,D,70,3,26,14,29,-11,138,79,85,0,1,1,166,126,,15,1,1775
Chris,Phillips,OTT,OTT,,D,36,0,3,2,3,0,29,12,28,0,0,0,70,54,,1,0,391
Alex,Pietrangelo,STL,STL,,D,81,7,39,16,46,-2,195,89,81,0,0,0,70,161,,12,2,2162
Steven,Pinizzotto,EDM,EDM,,RW,18,2,2,1,4,1,15,1,1,0,0,0,32,2,,0,0,198
Brandon,Pirri,FLA,FLA,,C,49,22,2,1,24,6,143,56,44,0,0,0,39,13,3,7,4,1140
Joe,Piskula,NSH,NSH,,D,1,0,0,0,0,-1,0,1,3,0,0,0,0,2,,0,0,4
Tyler,Pitlick,EDM,EDM,,RW/C,17,2,0,0,2,-3,18,13,9,0,0,0,55,17,,0,1,250
Tomas,Plekanec,MTL,MTL,,C,82,26,34,20,60,8,248,68,76,3,1,4,47,55,0,16,5,2540
Emile,Poirier,CGY,CGY,,LW/RW,6,0,1,0,1,1,2,2,2,0,0,0,7,1,,0,0,45
Roman,Polak,TOR,TOR,,D,56,5,4,1,9,-22,61,32,36,0,0,0,225,128,,0,1,1073
Jason,Pominville,MIN,MIN,,RW,82,18,36,23,54,9,252,84,97,0,0,0,44,32,3,14,4,2226
Chris,Porter,STL,STL,,LW,24,1,1,1,2,-3,24,14,6,0,0,0,63,1,,0,1,246
Paul,Postma,WPG,WPG,,D,42,2,4,1,6,1,40,20,49,0,0,0,17,28,,2,0,340
Corey,Potter,CGY,CGY,,D,6,0,0,0,0,-1,2,2,1,0,0,0,6,5,,0,0,26
Benoit,Pouliot,EDM,EDM,,LW,58,19,15,11,34,-1,105,51,18,1,0,1,71,31,0,7,3,1414
Derrick,Pouliot,PIT,PIT,,D,34,2,5,3,7,-11,56,20,38,0,0,0,15,20,0,4,2,437
Shane,Prince,OTT,OTT,,LW/C,2,0,1,0,1,1,2,2,2,0,0,0,2,0,,0,0,33
Nate,Prosser,MIN,MIN,,D,63,2,5,3,7,-1,38,15,20,0,0,0,34,102,,0,1,543
Dalton,Prout,CBJ,CBJ,,D,63,0,8,4,8,-14,64,16,50,0,0,0,166,84,,0,0,828
Brandon,Prust,MTL,MTL,,LW,82,4,14,11,18,6,78,28,24,0,1,1,122,34,,0,0,938
Matt,Puempel,OTT,OTT,,LW,13,2,1,0,3,6,14,7,5,0,0,0,9,1,,0,0,123
Teemu,Pulkkinen,DET,DET,,LW,31,5,3,1,8,5,67,30,38,0,0,0,3,4,,2,2,408
Teddy,Purcell,EDM,EDM,,RW,82,12,22,16,34,-33,146,51,73,0,0,0,24,19,2,12,0,1348
Mark,Pysyk,BUF,BUF,,D,7,2,1,0,3,4,4,3,3,0,0,0,1,11,,0,1,127
Kyle,Quincey,DET,DET,,D,73,3,15,11,18,10,90,41,86,0,1,1,104,82,,0,0,1022
Michael,Raffl,PHI,PHI,,LW,67,21,7,2,28,6,134,46,42,1,0,1,172,46,,2,2,1484
Rickard,Rakell,ANA,ANA,,C/RW,71,9,22,11,31,6,105,48,39,0,0,0,79,22,1,9,1,1297
John,Ramage,CGY,CGY,,D,1,0,0,0,0,-1,4,0,0,0,0,0,2,1,,0,0,14
Brendan,Ranford,DAL,DAL,,LW,1,0,0,0,0,0,0,1,1,0,0,0,2,0,,0,0,4
Victor,Rask,CAR,CAR,,C,80,11,22,10,33,-14,172,55,69,0,0,0,42,36,1,11,2,1475
Ty,Rattie,STL,STL,,RW,11,0,2,1,2,0,8,4,6,0,0,0,15,4,,0,0,104
Mason,Raymond,CGY,CGY,,LW,57,12,11,7,23,-8,123,24,65,0,0,0,7,13,0,1,1,891
Matt,Read,PHI,PHI,,RW,80,8,22,12,30,-4,142,59,55,0,1,1,108,55,0,5,2,1470
Ryan,Reaves,STL,STL,,RW,81,6,6,3,12,-3,55,22,16,0,0,0,276,14,,0,1,1010
Zach,Redmond,COL,COL,,D,59,5,15,9,20,-1,93,26,58,0,0,0,59,76,0,6,1,1036
Dylan,Reese,ARI,ARI,,D,1,0,0,0,0,-1,3,1,2,0,0,0,2,2,,0,0,14
Robyn,Regehr,LAK,LAK,,D,67,3,10,4,13,10,63,30,36,0,1,1,203,83,,0,0,1043
Peter,Regin,CHI,CHI,,C,4,0,1,0,1,1,3,2,0,0,0,0,3,0,,0,0,37
Griffin,Reinhart,NYI,NYI,,D,8,0,1,0,1,1,4,4,3,0,0,0,14,8,,0,0,77
Max,Reinhart,CGY,CGY,,C,4,0,0,0,0,-3,3,6,2,0,0,0,1,3,,0,0,14
Sam,Reinhart,BUF,BUF,,C,9,0,1,0,1,-1,3,0,3,0,0,0,3,5,,0,0,47
Borna,Rendulic,COL,COL,,RW/C,11,1,1,1,2,1,6,1,4,0,0,0,22,3,,0,0,112
Mike,Ribeiro,NSH,NSH,,C,82,15,47,27,62,11,96,44,29,0,0,0,42,19,,12,3,2044
Brad,Richards,CHI,CHI,,C,76,12,25,15,37,3,199,53,70,0,0,0,32,27,0,7,3,1571
